GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TofuNomics,org.tofu.tofunomics.income,JobIncomeManager.IncomeData,9,0,0,0,4,0,1,0,1,0
TofuNomics,org.tofu.tofunomics.income,JobIncomeManager,817,0,37,0,143,0,33,0,11,0
TofuNomics,org.tofu.tofunomics.cache,CacheManager.CachedPlayer,15,0,0,0,6,0,3,0,3,0
TofuNomics,org.tofu.tofunomics.cache,CacheManager,1186,0,98,0,270,0,86,0,37,0
TofuNomics,org.tofu.tofunomics.cache,CacheManager.CachedPlayerJob,15,0,0,0,6,0,3,0,3,0
TofuNomics,org.tofu.tofunomics.cache,CacheManager.CacheStatistics,114,0,6,0,26,0,16,0,13,0
TofuNomics,org.tofu.tofunomics.npc,NPCListener.TradingSession,32,0,2,0,9,0,6,0,5,0
TofuNomics,org.tofu.tofunomics.npc,FoodNPCManager.PurchaseResult,21,0,0,0,8,0,4,0,4,0
TofuNomics,org.tofu.tofunomics.npc,NPCListener,814,0,90,0,159,0,62,0,16,0
TofuNomics,org.tofu.tofunomics.npc,TradingNPCManager.TradingPost,65,0,4,0,18,0,12,0,10,0
TofuNomics,org.tofu.tofunomics.npc,FoodNPCManager.FoodStore,64,0,6,0,14,0,11,0,8,0
TofuNomics,org.tofu.tofunomics.npc,TradingNPCManager.TradeResult,27,0,0,0,10,0,5,0,5,0
TofuNomics,org.tofu.tofunomics.npc,TradingNPCManager,1747,0,102,0,297,0,72,0,20,0
TofuNomics,org.tofu.tofunomics.npc,NPCManager.NPCData,33,0,0,0,12,0,6,0,6,0
TofuNomics,org.tofu.tofunomics.npc,FoodNPCManager,1401,0,72,0,237,0,54,0,18,0
TofuNomics,org.tofu.tofunomics.npc,NPCManager,735,0,63,0,145,0,50,0,17,0
TofuNomics,org.tofu.tofunomics.npc,BankNPCManager,587,0,32,0,114,0,25,0,9,0
TofuNomics,org.tofu.tofunomics,TofuNomics,1361,2,64,0,274,1,69,1,37,1
TofuNomics,org.tofu.tofunomics.batch,OptimizedBatchProcessor.ObjectPool,67,0,10,0,16,0,8,0,3,0
TofuNomics,org.tofu.tofunomics.batch,OptimizedBatchProcessor.BatchStatistics,61,0,4,0,14,0,10,0,8,0
TofuNomics,org.tofu.tofunomics.batch,OptimizedBatchProcessor.BatchOperation,20,0,2,0,6,0,4,0,3,0
TofuNomics,org.tofu.tofunomics.batch,OptimizedBatchProcessor.BatchOperationType,27,0,0,0,5,0,1,0,1,0
TofuNomics,org.tofu.tofunomics.batch,OptimizedBatchProcessor,845,0,47,0,186,0,43,0,18,0
TofuNomics,org.tofu.tofunomics.stats,JobStatsManager,971,0,73,0,175,0,62,0,14,0
TofuNomics,org.tofu.tofunomics.database,HikariDatabaseManager,1702,0,30,0,191,0,28,0,13,0
TofuNomics,org.tofu.tofunomics.database,HikariDatabaseManager.DatabaseStatistics,62,0,2,0,17,0,10,0,9,0
